"Date","Mobile","Desktop","Tablet"
2009-01,2.14,97.86,0
2009-02,2.46,97.54,0
2009-03,2.76,97.24,0
2009-04,2.49,97.51,0
2009-05,2.76,97.24,0
2009-06,2.89,97.11,0
2009-07,3.22,96.78,0
2009-08,3.32,96.68,0
2009-09,3.3,96.7,0
2009-10,3.62,96.38,0
2009-11,3.51,96.49,0
2009-12,3.98,96.02,0
2010-01,5.25,94.75,0
2010-02,5.92,94.08,0
2010-03,7.33,92.67,0
2010-04,8.53,91.47,0
2010-05,9.87,90.13,0
2010-06,12.91,87.09,0
2010-07,12.62,87.38,0
2010-08,13.6,86.4,0
2010-09,15.15,84.85,0
2010-10,15.04,84.96,0
2010-11,16.81,83.19,0
2010-12,15.39,84.61,0
2011-01,18.81,81.19,0
2011-02,20,80,0
2011-03,21.73,78.27,0
2011-04,24.52,75.48,0
2011-05,25.73,74.27,0
2011-06,31.31,68.69,0
2011-07,32.22,67.78,0
2011-08,34.01,65.99,0
2011-09,34.13,65.87,0
2011-10,35.18,64.82,0
2011-11,37.36,62.64,0
2011-12,40.08,59.92,0
2012-01,42.25,57.75,0
2012-02,39.64,60.36,0
2012-03,39.1,60.9,0
2012-04,45.87,54.13,0
2012-05,48.71,51.29,0
2012-06,47.15,52.85,0
2012-07,49.88,50.12,0
2012-08,51.37,48.13,0.5
2012-09,52.29,47.15,0.56
2012-10,52.95,46.49,0.56
2012-11,55.93,43.47,0.6
2012-12,58.42,40.97,0.61
2013-01,54.55,44.73,0.71
2013-02,53.1,46.1,0.8
2013-03,53.91,45.23,0.86
2013-04,55.07,44.02,0.92
2013-05,55.18,43.79,1.03
2013-06,57.53,41.37,1.1
2013-07,58.41,40.43,1.16
2013-08,60.63,38.24,1.13
2013-09,61.41,37.53,1.06
2013-10,61.92,37.06,1.03
2013-11,63.65,35.31,1.04
2013-12,66.19,32.73,1.08
2014-01,65.64,33.28,1.08
2014-02,64.82,34.05,1.13
2014-03,67.15,31.67,1.18
2014-04,67.4,31.36,1.24
2014-05,68.58,30.15,1.26
2014-06,67.75,30.92,1.33
2014-07,68.56,30.13,1.31
2014-08,70.45,28.22,1.33
2014-09,69.4,29.28,1.32
2014-10,70.35,28.36,1.29
2014-11,71.11,27.6,1.29
2014-12,72.22,26.53,1.25
2015-01,70.56,28.16,1.28
2015-02,68.05,30.69,1.27
2015-03,69.64,29.09,1.27
2015-04,67.89,30.9,1.21
2015-05,65.65,33.18,1.17
2015-06,65.81,33.03,1.15
2015-07,64.5,34.37,1.14
2015-08,66.81,32.08,1.1
2015-09,66.26,32.7,1.04
2015-10,67.13,31.83,1.04
2015-11,67.09,31.86,1.05
2015-12,65.94,33.08,0.99
2016-01,66.83,32.15,1.01
2016-02,67.85,31.2,0.95
2016-03,70.42,28.63,0.94
2016-04,70.83,28.2,0.97
2016-05,76.01,23.05,0.94
2016-06,69.78,29.18,1.03
2016-07,70.98,28.01,1.01
2016-08,70.95,28.08,0.96
2016-09,74.58,24.56,0.86
2016-10,78.05,21.18,0.76
2016-11,79.94,19.33,0.73
2016-12,79,20.22,0.78
2017-01,78.68,20.5,0.81
2017-02,78.97,20.24,0.79
2017-03,79.66,19.56,0.78
2017-04,79.79,19.41,0.8
2017-05,80.96,18.25,0.79
2017-06,81.09,18.19,0.73
2017-07,80.35,18.93,0.72
2017-08,79.01,20.28,0.71
2017-09,77.79,21.52,0.7
2017-10,78.89,20.44,0.67
2017-11,78.84,20.54,0.62
2017-12,79.63,19.76,0.62
2018-01,78.65,20.76,0.59
2018-02,78.01,21.42,0.58
2018-03,77.81,21.57,0.61
2018-04,78.98,20.45,0.57
2018-05,80.18,19.25,0.57
2018-06,78.54,20.95,0.51
2018-07,77.99,21.53,0.48
2018-08,77.8,21.75,0.45
2018-09,78.39,21.18,0.44
2018-10,75.93,23.65,0.42
2018-11,75.8,23.8,0.4
2018-12,77.31,22.29,0.4
2019-01,76.07,23.54,0.39
2019-02,74.02,25.6,0.38
2019-03,73.63,25.93,0.44
2019-04,71.69,27.85,0.45
2019-05,71.72,27.82,0.45
2019-06,71.93,27.63,0.45
2019-07,72.49,27.08,0.42
2019-08,74.43,25.15,0.42
2019-09,76.5,23.08,0.42
2019-10,77.43,22.2,0.37
2019-11,76.21,23.44,0.35
2019-12,74.27,25.42,0.31
2020-01,73.04,26.64,0.33
2020-02,69.52,30.15,0.33
2020-03,70.84,28.79,0.37
2020-04,74.58,24.92,0.5
2020-05,71.73,27.68,0.59
2020-06,67.81,31.61,0.57
2020-07,67.32,32.12,0.56
2020-08,66.22,33.24,0.54
2020-09,66.43,33.03,0.53
2020-10,64.37,35.1,0.52
2020-11,66.2,33.24,0.56
2020-12,76.57,22.89,0.54
2021-01,77.09,22.38,0.54
2021-02,76.69,22.87,0.44
2021-03,76.54,23.04,0.42
2021-04,77.19,22.32,0.5
2021-05,77.5,21.94,0.56
2021-06,74.76,24.71,0.53
2021-07,72.95,26.53,0.52
2021-08,76.56,22.96,0.48
2021-09,76.57,22.98,0.45
2021-10,76.47,23.09,0.43
2021-11,75.91,23.67,0.42
2021-12,73.76,25.8,0.44
2022-01,74.97,24.53,0.5
2022-02,75.77,23.77,0.46
2022-03,75.88,23.69,0.43
2022-04,75.83,23.75,0.42
2022-05,75.2,24.37,0.42
2022-06,75.47,24.09,0.44
2022-07,73.55,26.01,0.44
2022-08,72.44,27.11,0.45
2022-09,72.76,26.8,0.43
2022-10,76.95,22.58,0.47
2022-11,75.5,24.05,0.45
2022-12,76.5,23.08,0.42
2023-01,75.46,24.13,0.41
2023-02,75.65,23.95,0.39
2023-03,75.79,23.83,0.39
2023-04,73.07,26.56,0.38
2023-05,70.01,29.58,0.42
2023-06,79.52,20.04,0.44
2023-07,79.44,20.11,0.45
2023-08,78.01,21.55,0.44
2023-09,77.18,22.37,0.45
2023-10,79.1,20.45,0.45
2023-11,79.32,20.24,0.44
2023-12,78.62,20.95,0.43
