airline,flight,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
5,1481,1,0,0,1,3,0,19.33,11,41064
1,799,5,2,1,4,3,1,17.33,12,12855
5,1510,5,4,1,5,1,1,11.17,19,8965
5,1458,4,2,0,4,0,1,15.25,8,13773
5,1492,1,5,0,0,5,1,15.5,34,10503
3,485,0,1,2,1,5,1,1.67,38,2201
5,1458,4,2,0,4,0,1,17.17,25,6458
2,1066,0,5,0,0,4,1,13.67,23,4162
1,867,2,5,0,1,1,1,10.58,21,3726
2,1108,4,0,0,2,0,1,7.17,43,6109
3,281,5,2,0,3,0,1,7.92,39,2124
5,1484,2,1,0,2,0,1,12.0,17,4008
2,1088,2,0,0,5,0,1,7.25,14,7424
5,1463,0,1,0,5,5,1,14.0,45,6568
1,870,5,1,0,2,0,1,9.25,44,6082
3,511,3,2,2,2,1,1,1.25,30,1788
5,1538,2,2,0,4,1,0,16.08,38,53512
1,889,3,5,0,0,2,1,16.25,20,6128
5,1467,0,4,0,5,3,1,13.17,22,6133
5,1449,4,2,0,4,3,0,14.92,22,52175
3,569,1,1,1,2,3,1,10.17,12,6554
1,857,2,1,2,4,0,1,2.75,8,7425
5,1463,0,1,0,2,1,0,8.33,33,60396
3,467,0,4,2,0,1,1,1.17,7,3498
2,1015,2,4,0,5,1,1,11.83,26,4896
0,1235,0,1,2,1,5,1,1.67,27,2201
1,833,4,0,0,2,5,0,4.83,10,31982
3,207,4,1,0,0,2,1,6.42,46,4439
1,857,2,1,2,4,0,1,2.75,23,4007
1,846,4,5,2,5,2,1,2.5,6,6489
1,747,0,4,0,5,5,1,11.17,31,6578
1,833,4,0,0,5,3,1,7.75,45,5114
1,704,2,1,0,5,5,0,13.25,6,59033
2,1058,3,0,0,5,5,1,5.92,38,7055
3,409,1,4,0,0,2,1,5.83,24,5648
2,1013,2,1,0,5,4,1,15.58,22,5954
5,1490,1,4,0,5,4,0,12.0,32,55377
1,801,0,1,0,5,2,1,13.67,35,4294
5,1469,0,5,0,2,3,1,19.83,49,6262
1,810,5,2,0,2,4,1,25.17,27,4556
5,1551,2,1,0,4,1,0,6.08,30,65944
5,1498,5,2,0,5,2,0,6.25,33,53152
5,1554,2,2,0,2,1,0,24.08,16,65832
2,999,5,4,0,2,2,1,9.33,31,5193
5,1520,3,5,0,2,2,1,22.17,29,6292
0,1215,5,1,2,4,2,1,2.17,46,2339
3,364,2,0,2,2,5,1,2.25,23,3570
1,879,5,2,0,2,4,0,24.17,14,49725
1,858,0,1,0,2,5,1,11.83,34,6578
1,835,4,4,1,2,5,1,10.08,26,8440
5,1488,1,2,0,5,5,0,5.67,31,49553
4,1379,0,0,0,4,2,1,19.58,6,7488
5,1469,0,5,0,4,5,0,12.58,27,95088
5,1456,4,5,0,5,3,0,24.33,16,49207
0,1215,2,4,0,2,0,1,8.25,5,7423
5,1481,1,0,2,0,5,1,2.0,16,2960
5,1520,3,5,0,4,0,0,11.25,20,38099
5,1537,5,2,0,2,1,0,20.58,38,64173
3,565,3,0,0,2,5,1,4.75,19,3149
5,1449,4,2,0,5,0,0,25.67,2,96790
5,1468,2,2,0,5,5,1,28.25,3,14775
3,245,2,1,2,4,5,1,2.17,9,5955
5,1525,3,2,0,2,4,0,25.92,42,60074
3,499,3,2,0,5,4,1,6.08,44,4390
1,862,0,5,0,4,3,1,14.92,41,6200
1,747,0,4,0,2,1,1,8.58,15,27334
5,1535,5,1,2,4,2,1,2.17,27,3024
5,1469,0,5,2,5,2,1,2.58,25,4502
5,1485,3,4,0,2,4,0,7.75,13,69739
4,1408,2,2,0,1,1,1,13.08,40,4942
5,1458,4,2,0,5,0,0,27.33,25,52287
5,1499,0,2,0,2,4,0,24.0,5,68841
5,1483,1,1,0,0,2,0,8.67,24,71304
5,1444,4,5,0,4,0,1,12.25,42,8111
3,475,0,2,0,5,5,1,4.08,1,23501
4,1280,5,1,0,4,2,1,4.75,34,3342
5,1485,3,4,1,2,0,1,6.67,28,6461
5,1459,4,0,2,2,2,0,2.42,5,48670
5,1473,0,2,0,4,1,0,14.25,33,60396
5,1471,0,4,0,2,5,1,7.58,43,6568
0,1163,4,5,2,3,0,1,2.75,8,6490
5,1486,1,1,2,4,2,0,2.83,35,27792
5,1479,1,5,0,2,2,1,20.0,4,15752
1,856,2,2,0,4,0,1,17.25,47,7046
5,1534,5,1,0,2,4,0,13.08,25,57565
1,716,1,4,2,0,2,1,3.08,38,3531
3,409,1,4,0,2,5,1,9.58,29,5271
3,127,2,2,0,3,1,1,4.92,10,8596
1,829,4,4,0,2,2,1,8.25,40,7076
5,1554,2,2,0,4,4,1,13.83,12,12990
1,797,5,1,0,5,1,0,16.5,44,49613
5,1458,4,2,0,1,0,0,14.25,31,52287
5,1500,5,1,0,0,2,1,7.17,21,6122
3,448,0,1,0,0,4,1,7.17,11,9588
1,840,4,1,0,5,5,0,15.25,48,50271
3,32,2,1,0,4,5,1,4.83,18,4246
1,749,0,1,1,1,1,1,24.83,12,13225
4,1379,0,0,0,4,2,1,19.58,18,5654
5,1511,0,2,0,4,2,0,13.08,20,42521
5,1559,2,4,0,2,0,1,7.42,20,4496
1,800,5,4,0,5,2,0,11.08,28,53152
0,1210,2,4,0,0,0,1,5.25,22,3090
3,634,5,1,0,0,1,1,8.08,49,1890
3,152,2,4,0,2,4,1,5.75,45,5027
1,846,4,5,0,2,3,0,22.83,12,52063
5,1464,2,2,0,4,3,1,13.25,34,5761
2,955,2,4,0,5,5,1,11.33,29,5087
3,388,0,2,0,3,2,1,8.75,27,3788
1,908,3,1,0,0,2,1,6.5,38,4989
5,1454,4,4,0,5,3,0,10.5,23,49207
5,1522,3,0,0,3,2,1,12.0,15,10018
3,625,3,2,0,2,5,1,3.58,7,17158
3,380,4,0,0,5,5,1,9.5,9,9251
1,909,1,4,0,5,0,1,13.75,30,5726
3,227,3,2,2,5,1,1,1.25,18,2399
5,1449,4,2,0,4,3,1,14.67,45,10301
5,1462,2,5,0,4,3,1,12.42,24,5761
1,744,2,0,0,1,3,0,18.33,32,44405
5,1445,4,1,0,5,5,0,14.42,43,59254
3,65,5,4,0,0,4,1,5.83,29,8059
1,724,5,0,0,1,1,1,16.42,6,11469
2,1105,0,0,0,3,3,1,9.58,32,5639
2,959,4,1,0,5,5,1,14.83,47,5888
3,158,1,4,1,2,4,1,9.33,9,10980
2,973,5,5,2,3,2,1,2.0,48,2339
1,885,5,1,1,2,1,1,8.25,26,7277
5,1532,5,2,0,2,1,0,22.75,22,57453
1,747,0,4,0,5,5,1,11.17,18,6158
5,1506,0,1,2,4,5,1,1.58,19,2150
5,1522,3,0,0,4,0,0,21.83,4,53734
1,713,2,1,0,2,0,0,12.25,32,39783
3,324,5,4,0,2,4,1,8.25,13,9955
5,1518,3,4,0,2,0,0,9.25,25,38099
1,788,5,5,0,1,1,1,11.75,13,8463
