desertionNo,happenDt,happenPlace,upKindNm,kindNm,age,weight,sexCd,neuterYn,processState,careNm,orgNm
448545202500390,2025-12-03,산청군 단성면 목화로 966,개,믹스견,2009(년생),2.2(Kg),F,N,보호중,산청동물보호센터,경상남도 산청군
448545202500389,2025-12-03,산청군신안면 신안리 87-4,개,믹스견,2021(년생),13.5(Kg),M,N,보호중,산청동물보호센터,경상남도 산청군
448545202500388,2025-12-03,산청군 신등면 가회로 52,개,믹스견,2018(년생),5.3(Kg),F,N,보호중,산청동물보호센터,경상남도 산청군
448541202501873,2025-12-03,창녕읍 남창녕로,고양이,한국 고양이,2025(60일미만)(년생),1(Kg),M,N,보호중,창녕 유기동물보호소,경상남도 창녕군
447511202501450,2025-12-03,상주시 청리면 마공공단로 일대,개,믹스견,2022(년생),17.48(Kg),M,N,보호중,상주시 동물보호센터,경상북도 상주시
447505202501654,2025-12-03,윗동천 강변 부근,개,믹스견,2025(60일미만)(년생),9.8(Kg),F,N,보호중,경주동물사랑보호센터,경상북도 경주시
447505202501653,2025-12-03,건천읍 내서로 부근,개,시베리안 허스키,2023(년생),20(Kg),Q,U,보호중,경주동물사랑보호센터,경상북도 경주시
445479202501255,2025-12-03,부안읍 진성아파트 102동,개,믹스견,2023(년생),6(Kg),M,N,보호중,부안군 동물보호센터,전북특별자치도 부안군
445471202500770,2025-12-03,유강4길 51-2,개,아메리칸 불독,2021(년생),20(Kg),M,N,보호중,전북말산업복합센터,전북특별자치도 김제시
445464202503470,2025-12-03,늘푸른동물병원 후문 계단,고양이,한국 고양이,2025(년생),0.11(Kg),Q,N,보호중,링크늘푸른동물병원,전북특별자치도 전주시
445464202503469,2025-12-03,늘푸른동물병원 후문 계단,고양이,한국 고양이,2025(년생),0.13(Kg),Q,N,보호중,링크늘푸른동물병원,전북특별자치도 전주시
445464202503468,2025-12-03,늘푸른동물병원 후문 계단,고양이,한국 고양이,2025(년생),0.13(Kg),F,N,보호중,링크늘푸른동물병원,전북특별자치도 전주시
445464202503467,2025-12-03,늘푸른동물병원 후문 계단,고양이,한국 고양이,2025(년생),0.11(Kg),F,N,보호중,링크늘푸른동물병원,전북특별자치도 전주시
445464202503466,2025-12-03,늘푸른동물병원 후문 계단,고양이,한국 고양이,2025(년생),0.11(Kg),F,N,보호중,링크늘푸른동물병원,전북특별자치도 전주시
445464202503465,2025-12-03,늘푸른동물병원 후문 계단,고양이,한국 고양이,2025(년생),0.13(Kg),F,N,보호중,링크늘푸른동물병원,전북특별자치도 전주시
443439202500906,2025-12-03,주봉산펜션(동량면),개,믹스견,2022(년생),12(Kg),M,N,종료(안락사),충주시동물보호센터,충청북도 충주시
442431202500314,2025-12-03,화천군 딴산유원지,개,불독,2019(년생),17.50(Kg),M,U,보호중,화천군농업기술센터,강원특별자치도 화천군
442421202500216,2025-12-03,분토길 70 인근,개,미니어쳐 닥스훈트,2020(년생),5(Kg),M,U,보호중,동해시동물보호센터,강원특별자치도 동해시
441386202501624,2025-12-03,원종로 9번길 59,개,비숑 프리제,2023(년생),6.0(Kg),F,U,종료(반환),24시아이동물메디컬,경기도 부천시
431370202500956,2025-12-03,문수구장,고양이,한국 고양이,2025(60일미만)(년생),0.5(Kg),M,N,보호중,스마일동물병원,울산광역시 남구
429362202500916,2025-12-03,북구 첨단119,개,비숑 프리제,2023(년생),3.2(Kg),F,U,보호중,광주동물보호센터,광주광역시 북구
450650202503248,2025-12-02,제주시 애월읍 유수암평화10길 175-78 노꼬메펜션캠핑장,개,믹스견,2024(년생),14(Kg),M,N,보호중,제주 동물보호센터,제주특별자치도
450650202503247,2025-12-02,제주시 외도일동 우정로6길17 아모르아파트 102동 옥상,개,믹스견,2025(년생),6.3(Kg),F,U,보호중,제주 동물보호센터,제주특별자치도
450650202503246,2025-12-02,서귀포시 대포동 1100로 731-34,개,포인터,2022(년생),14.4(Kg),F,U,보호중,제주 동물보호센터,제주특별자치도
450650202503245,2025-12-02,서귀포시 대정읍 무릉중앙로11번길 11-1,개,믹스견,2024(년생),10.7(Kg),F,U,보호중,제주 동물보호센터,제주특별자치도
450650202503244,2025-12-02,서귀포시 남원읍 신흥고수로 356,개,믹스견,2025(년생),4.6(Kg),F,N,보호중,제주 동물보호센터,제주특별자치도
450650202503243,2025-12-02,서귀포시 안덕면 사계리 451 임야 내,개,믹스견,2025(년생),4.3(Kg),M,N,보호중,제주 동물보호센터,제주특별자치도
450650202503242,2025-12-02,서귀포시 상효동 1581 우리들골프장,개,믹스견,2025(60일미만)(년생),2.3(Kg),M,N,보호중,제주 동물보호센터,제주특별자치도
450650202503241,2025-12-02,서귀포시 상효동 1581 우리들골프장,개,믹스견,2023(년생),11.3(Kg),F,U,보호중,제주 동물보호센터,제주특별자치도
448535202501788,2025-12-02,김해시 생림면 나전로 276,개,믹스견,2024(년생),2(Kg),F,U,보호중,(사)동물보호관리협회,경상남도 김해시
448535202501787,2025-12-02,김해시 생림면 나전로 276,개,믹스견,2022(년생),5(Kg),F,U,보호중,(사)동물보호관리협회,경상남도 김해시
448535202501786,2025-12-02,김해시 생림면 나전로 276,개,믹스견,2022(년생),5(Kg),F,U,보호중,(사)동물보호관리협회,경상남도 김해시
448535202501785,2025-12-02,김해시 상동면 362,개,믹스견,2022(년생),4(Kg),M,U,보호중,(사)동물보호관리협회,경상남도 김해시
447512202500693,2025-12-02,가은죽문,개,믹스견,2023(년생),12(Kg),F,N,보호중,종합축산,경상북도 문경시
