접속일자,PC접속수,모바일접속수
2021-01-01,"1,870",900
2021-01-02,"1,660","1,280"
2021-01-03,"4,440",550
2021-01-04,"2,890",520
2021-01-05,"2,500",400
2021-01-06,"1,730",320
2021-01-07,"1,580",590
2021-01-08,"2,490",450
2021-01-09,"2,850",630
2021-01-10,"2,890",660
2021-01-11,"3,040",360
2021-01-12,"2,860",350
2021-01-13,"3,340",340
2021-01-14,"2,650",610
2021-01-15,"3,200",580
2021-01-16,"3,410","1,230"
2021-01-17,"2,570",750
2021-01-18,"3,000",520
2021-01-19,"3,130",580
2021-01-20,"3,850",500
2021-01-21,"3,210",470
2021-01-22,"1,490",680
2021-01-23,"1,590",920
2021-01-24,"3,290",920
2021-01-25,"3,490",590
2021-01-26,"1,820",710
2021-01-27,"1,940",690
2021-01-28,"2,170",650
2021-01-29,"3,590",840
2021-01-30,"3,290","1,200"
2021-01-31,"1,200",810
2021-02-01,"2,150",500
2021-02-02,"1,820",570
2021-02-03,"1,990",560
2021-02-04,"2,590",600
2021-02-05,"2,250",570
2021-02-06,"2,600",810
2021-02-07,"1,760",940
2021-02-08,"3,620",600
2021-02-09,"2,330",520
2021-02-10,"3,180",760
2021-02-11,"4,090","1,370"
2021-02-12,"1,800","1,590"
2021-02-13,"1,880","2,260"
2021-02-14,"3,180","1,310"
2021-02-15,"2,620",790
2021-02-16,"2,390",920
2021-02-17,"2,840",610
2021-02-18,"2,640",690
2021-02-19,"3,920",980
2021-02-20,"2,300","1,690"
2021-02-21,"3,830","1,440"
2021-02-22,"6,640","1,040"
2021-02-23,"4,100",960
2021-02-24,"2,970",810
2021-02-25,"3,540","1,340"
2021-02-26,"3,800","1,300"
2021-02-27,"2,230","2,450"
2021-02-28,"2,220","2,190"
2021-03-01,"3,320",990
2021-03-02,"2,200",420
2021-03-03,"3,490",670
2021-03-04,"2,580",660
2021-03-05,"2,670",710
2021-03-06,"3,540","1,150"
2021-03-07,"3,070",860
2021-03-08,"2,090",550
2021-03-09,"2,480",310
2021-03-10,"2,290",520
2021-03-11,"2,760",660
2021-03-12,"1,0010",810
2021-03-13,"4,170","1,330"
2021-03-14,"1,890","1,110"
2021-03-15,"1,760",670
2021-03-16,"4,910",520
2021-03-17,"1,920",580
2021-03-18,"2,140",660
2021-03-19,"2,900",770
2021-03-20,"1,850","1,050"
2021-03-21,"1,460","1,070"
2021-03-22,"2,410",750
2021-03-23,"2,010",590
2021-03-24,"2,930",970
2021-03-25,"3,700","1,750"
2021-03-26,"3,860","1,480"
2021-03-27,"2,190","1,290"
2021-03-28,"3,580","1,380"
2021-03-29,"3,310",670
2021-03-30,"3,070",500
2021-03-31,"2,790",530
2021-04-01,"4,410",630
2021-04-02,"2,660",700
2021-04-03,"1,970","1,070"
2021-04-04,"1,960",820
2021-04-05,"2,600",650
