restaurant,item,calories,total_fat,sat_fat,trans_fat,cholesterol,sodium,total_carb,fiber,sugar,protein
Mcdonalds,Maple Bacon Dijon 1/4 lb Burger,640,36,14.0,1.5,110,1260,40,3.0,10,37.0
Subway,Subway Melt® Salad,200,10,5.0,0.0,45,910,13,4.0,6,18.0
Mcdonalds,Hamburger,250,8,3.0,0.0,30,480,31,2.0,6,13.0
Subway,Autumn Carved Turkey Salad,300,9,3.0,0.0,60,1120,26,3.0,22,25.0
Dairy Queen,Crispy Chicken BLT Salad,520,31,10.0,0.0,100,1470,25,9.0,6,37.0
Taco Bell,Cheese Roll-Up,190,9,5.0,0.0,20,450,18,2.0,1,9.0
Mcdonalds,Premium Southwest Salad w/o Chicken,220,10,3.5,0.0,15,500,26,6.0,9,8.0
Dairy Queen,Grilled Chicken Sandwich,360,15,3.0,0.0,50,1040,32,1.0,5,25.0
Subway,Kids Mini Sub Turkey Breast,180,2,0.5,0.0,10,380,30,3.0,5,10.0
Mcdonalds,Crispy Bacon Smokehouse Chicken Sandwich,920,45,12.0,0.5,120,1980,81,4.0,18,46.0
Chick Fil-A,6 piece Chicken Nuggets,190,9,1.5,0.0,55,730,7,1.0,0,21.0
Arbys,Smokehouse Brisket,600,35,12.0,1.0,110,1240,42,2.0,7,33.0
Burger King,Spicy Crispy Jalapeno Chicken Sandwich,760,45,11.0,0.0,95,1720,58,3.0,8,32.0
Sonic,"All Beef New York Dog – 6""",340,19,7.0,0.0,40,1250,30,3.0,4,13.0
Mcdonalds,McChicken,350,15,3.5,0.0,40,600,40,2.0,5,15.0
Taco Bell,MexiMelt®,270,14,7.0,1.0,40,740,21,3.0,2,14.0
Dairy Queen,Deluxe Hamburger,350,14,7.0,1.0,50,680,34,1.0,9,17.0
Dairy Queen,Steak Finger Basket,910,48,13.0,0.5,45,2210,95,5.0,2,23.0
Taco Bell,Beef Crunchy Cheesy Core Burrito,630,26,10.0,0.5,45,1530,76,7.0,5,22.0
Sonic,Small Jumbo Popcorn Chicken,380,22,4.0,0.0,45,1250,27,3.0,1,18.0
Taco Bell,Chalupa Supreme® - Chicken,340,18,4.0,0.0,40,530,29,3.0,4,16.0
Mcdonalds,Classic Chicken Sandwich,510,24,4.0,0.0,65,1040,49,3.0,6,25.0
Dairy Queen,1/2 lb. GrillBurger with Cheese,800,51,20.0,2.0,135,1280,44,3.0,13,40.0
Taco Bell,Triple Melt Nachos,260,16,4.5,0.0,30,550,19,3.0,1,10.0
Sonic,Sonic Cheeseburger W/ Mayonnaise,800,54,18.0,2.0,130,1090,44,2.0,7,35.0
Arbys,Bourbon BBQ Steak Sandwich,690,31,9.0,0.0,90,1990,66,3.0,16,38.0
Mcdonalds,6 piece Buttermilk Crispy Chicken Tenders,760,44,8.0,0.5,145,1890,32,1.0,1,58.0
Taco Bell,XXL Grilled Stuft Burrito - Beef,880,42,14.0,1.0,75,2020,94,12.0,6,31.0
Chick Fil-A,Smokehouse BBQ Bacon Sandwich,500,18,0.0,0.0,95,1200,46,2.0,10,33.0
Taco Bell,Nacho Cheese Doritos® Locos Tacos,170,9,4.0,0.0,25,340,13,2.0,1,8.0
Mcdonalds,Grilled Garlic White Cheddar Chicken Sandwich,530,20,7.0,0.0,125,1150,48,3.0,11,42.0
Taco Bell,Triple Layer Nachos,320,15,1.5,0.0,0,600,41,6.0,2,7.0
Taco Bell,Shredded Chicken Mini Quesadilla,180,8,2.5,0.0,25,540,15,2.0,1,12.0
Taco Bell,Fiesta Taco Salad-Steak,720,36,8.0,1.0,55,1340,70,8.0,8,28.0
Subway,"6"" BBQ Rib Sandwich",430,18,6.0,0.0,50,590,47,5.0,8,19.0
Burger King,Crispy Chicken Jr.,430,28,4.5,0.0,30,760,34,2.0,4,12.0
Sonic,"All Beef All-american Style Dog – 6""",370,18,7.0,0.0,40,1180,40,1.0,15,12.0
Arbys,Pizza Slider,300,17,6.0,0.0,35,930,23,1.0,2,13.0
Mcdonalds,Double Bacon Smokehouse Burger,1130,67,27.0,3.0,220,1920,63,3.0,18,70.0
Subway,Big Philly Cheesesteak Salad,330,16,8.0,1.0,85,1080,17,5.0,6,32.0
Subway,"6"" Cold Cut Combo",370,13,4.0,0.0,50,1140,46,5.0,7,18.0
Taco Bell,Fiery Doritos® Locos Taco,170,10,3.5,0.0,25,370,12,3.0,1,8.0
Sonic,Super Sonic Bacon Double Cheeseburger (w/mayo),1280,92,36.0,4.0,260,1630,44,2.0,7,67.0
Taco Bell,Mild Naked Chicken Chalupa,440,30,7.0,0.0,70,1090,22,3.0,1,20.0
Subway,Turkey Breast & Ham Salad,110,3,1.0,0.0,25,580,11,4.0,5,12.0
Arbys,Roast Turkey & Swiss Sandwich,710,28,7.0,0.0,65,1930,79,5.0,15,38.0
Taco Bell,BLT Crunchwrap Slider,430,23,5.0,0.0,20,900,43,3.0,4,12.0
Taco Bell,Spicy Double Chalupa,600,35,8.0,0.5,50,1240,52,7.0,5,21.0
Taco Bell,Chicken Quesadilla,520,28,12.0,1.0,75,1210,41,4.0,3,27.0
Subway,"6"" B.L.T.",320,9,4.0,0.0,20,680,43,5.0,6,15.0
Subway,"6"" Subway Club",310,5,2.0,0.0,40,880,46,5.0,7,23.0
Arbys,"Roast Turkey, Ranch & Bacon Sandwich",800,34,10.0,0.5,80,2420,79,5.0,16,45.0
Mcdonalds,3 piece Buttermilk Crispy Chicken Tenders,370,21,3.5,0.0,70,910,16,0.0,0,28.0
Arbys,Fire-Roasted Philly Steak,640,32,11.0,0.5,105,1950,46,3.0,4,42.0
