지역구,10대 미만,10대,20대,30대,40대,50대,60대,70대,80대,90대 이상,총인구수
종로구,6559,10735,27787,21014,20982,25061,20952,11556,6600,966,152212
중구,6313,6909,21404,22120,18283,20648,18898,10432,5504,879,131390
용산구,12886,15451,33676,41419,35389,37195,30318,15744,8987,1417,232482
성동구,17968,18917,45156,46557,42643,45743,38809,20199,9980,1268,287240
광진구,16678,25060,66308,56979,50188,54710,46016,22985,10650,1351,350925
동대문구,18664,23627,68182,50800,49232,52729,48409,27928,13677,1636,354884
중랑구,20413,24947,52889,58911,55251,66189,62900,32317,14329,1782,389928
성북구,25675,36931,72533,58952,66307,71106,58046,33165,16941,2199,441855
강북구,12711,20072,41073,36571,42058,51196,47893,29468,14314,1578,296934
도봉구,15222,23320,39585,38690,44264,54841,52608,28344,14116,1868,312858
노원구,27828,49251,69731,62325,78161,86441,72611,38672,19146,2823,506989
은평구,25273,36258,63301,66558,71870,77266,68067,38852,19160,2161,468766
서대문구,18693,23338,56980,46778,46301,49864,41610,23574,13142,1686,321966
마포구,21818,27785,65115,65671,59271,56307,42506,23574,12732,1763,376542
양천구,26670,48378,54432,54500,74396,75687,62561,31263,12549,1909,442345
강서구,33202,42989,82622,98837,88817,84234,80793,42127,17378,2712,573711
구로구,25161,29399,53834,65422,63868,68459,62327,33802,13994,1717,417983
금천구,11307,13774,36851,39940,32662,42120,37953,18841,8047,972,242467
영등포구,24386,24286,59813,73779,58765,62021,52809,28035,13366,1739,398999
동작구,21226,27047,68889,61141,56580,58456,51277,30025,13855,1881,390377
관악구,18135,26935,115634,90786,64915,68572,62020,37371,16465,1795,502628
서초구,28842,44949,50666,57681,73710,64198,47910,27945,11296,1782,408979
강남구,32605,60648,69134,77917,98019,84103,61734,37203,14124,2330,537817
송파구,45614,58265,87627,106721,108477,102607,89995,44951,16719,2728,663704
강동구,32305,39306,58094,69934,75608,71427,68523,34240,12644,1946,464027
