Name,Writer,Likes,Genre,Rating,Subscribers
Teenage Mercenary,YC / Rakyeon,929796,Action,9.87,537600
Weak Hero,SEOPASS / RAZEN,9900000,Action,9.85,1000000
Viral Hit,the gom (happybooks2u) / jungmi,60620,Action,9.83,395900
Neon Revenge,MURO,140430,Action,9.68,267300
The World is Money and Power,Baek June / Thresher,184029,Action,9.68,162100
IF,JongBeom Lee,2400000,Action,9.03,150800
Girls of the Wild's,HUN / ZHENA,6900000,Action,9.57,813800
Caster,Common / Noble Transmission,70537,Action,9.03,47400
The God of High School,Yongje Park,25100000,Action,9.7,2300000
The Advanced Player ofthe Tutorial Tower,Bangguseok Gimssi / Omagam,3000000,Action,9.54,979700
Omniscient Reader,sing N song / UMI,8000000,Action,9.9,1500000
Jungle Juice,HYEONG EUN / JUDER,2500000,Action,9.81,803300
Villain to Kill,Fupin / Eunji,988273,Action,9.77,672200
Doom Breaker,Blue-Deep,378936,Action,9.7,371700
Eleceed,Jeho Son / ZHENA,10300000,Action,9.93,975800
The Strongest Florist,JYUN / Hong Cha,404104,Action,9.85,460600
Hardcore Leveling Warrior,Sehoon Kim,13600000,Action,9.76,1200000
Dungeons & Artifacts,Zerowater / UMKY,862670,Action,9.55,379900
Hero Killer,Kkulbeol / Beolkkul,1100000,Action,9.74,501500
I Get Stronger the More I Eat,Kitaeon / Frost Mourne,179307,Action,8.45,210900
Return to Player,UMKY / SEHON,956554,Action,9.66,413000
A Useless Villain,Yeoul / ODI,344200,Action,9.42,305900
Infinite Leveling: Murim,Jinwoo Kim / Gonbung,362055,Action,9.51,192300
Code Adam,Atterozen,3000000,Action,9.77,766000
Ordeal,Brent Bristol,91376,Action,9.66,121700
The First Hunter,dedart / Chanwook Jeon,157380,Action,9.24,157200
Tales of Sarimin the Jinn,Titasupp,77659,Action,9.54,85000
microHUNTER,NAGATERBANG,47983,Action,9.55,328300
Gul,Nekucciola,223054,Action,9.52,134500
Noblesse: Rai's Adventure,Jeho Son / Kwangsu Lee,301953,Action,9.83,372400
GOSU,Giun Ryu / Mun Jeong Hoo,6000000,Action,9.85,702800
Noblesse,Jeho Son / Kwangsu Lee,19500000,Action,9.77,1700000
Cape of Spirits,Kris Nguyen,2100000,Action,9.5,514500
LESSA,POGO,533002,Action,9.73,205200
LESSA 2 - The Crimson Knight,POGO,806466,Action,9.79,164800
Brothers Bond,Kevin Grevioux / Ryan Benjamin,139498,Action,9.1,104600
1000,Chuck Brown / Sanford Greene,78037,Action,8.98,102700
The Gamer,Sangyoung Seong / Sang-A,16500000,Action,9.62,1900000
Return of the Blossoming Blade,UMKY / SEHON,956554,Action,9.82,282800
Blood-Ink,Lupicut,4300000,Action,9.67,636500
TACIT,KimDazzi,156771,Action,9.65,207500
The Eagle and the Snake,Angel Tovar,23386,Action,9.55,64100
REAWAKENED MAN,Yongtaek Chae / Jaehan Kim,103691,Action,9.45,145800
Covenant,explodikid,1200000,Action,9.58,351100
Pound,Tony Karnowski / Orlando Caicedo,325758,Action,9.15,91800
Darbi,Sherard Jackson,2000000,Action,9.53,328500
Bad Signs,Nawa,177346,Comedy,9.56,251100
God of Bath,Ilkwon Ha,279266,Comedy,9.51,117300
Boyfriend of the Dead,Ushio,27300000,Comedy,9.74,2000000
Cursed Princess Club,LambCat,15700000,Comedy,9.8,2000000
"God, Please Make Me a Demon!",Bulsa / Yomgary,321043,Comedy,9.31,318400
Forever After,JEON Segi / JEON Hoyun,240180,Comedy,9.35,378500
Everywhere & Nowhere,Merryweather / PeaCH,9300000,Comedy,9.62,750600
Smity and Majesty,B.Y / JRobin,2400000,Comedy,9.46,115900
Just Pancakes,HadeToons,2100000,Comedy,9.66,205100
Trailer Park Warlock,Matthew J. Rainwater,575048,Comedy,9.3,96000
The Wolf & Red Riding Hood,XUANN,3400000,Comedy,9.63,616500
Your Adventure,Chris McCoy,149983,Comedy,9.15,46300
DON'T HATE,Pink_Alien,4100000,Comedy,9.35,267500
Aura from Another Planet,Kyusam Kim,264872,Comedy,9.24,50800
Unlucky is as Lucky does,M. Nires,2700000,Comedy,9.67,238900
Mage & Demon Queen,Color_LES,18000000,Comedy,9.78,2300000
Rooftops & Roommates,Zaanart,1500000,Comedy,9.43,380200
High Class Homos,AENGO,4100000,Comedy,9.32,151600
Not So Shoujo Love Story,Curryuku,3000000,Comedy,9.64,546200
Adventures of God,Teo / Corey,23600000,Comedy,9.44,1400000
Live with Yourself!,Shen / David Mercier,9700000,Comedy,9.76,612800
Safely Endangered,Chris McCoy,19600000,Comedy,9.56,1000000
Andy Bass,KenneDuck / Gia,1000000,Comedy,9.36,160400
The Hip Guy,ST,377178,Comedy,9.2,208300
Gecko Chan,RE ME,735275,Comedy,9.24,75400
Meow Rangers,Matthew J. Rainwater,575048,Comedy,9.34,32000
AXED,Shren Patel / Emi MG,3500000,Comedy,9.64,459600
My Daughter is a Zombie,Yun-chang Lee,1900000,Comedy,9.66,325500
Illustrated Internet,Dami Lee,611473,Comedy,9.05,136400
Brutally Honest,Deya Muniz,1100000,Comedy,9.47,203600
10th Dimension Boys,Cutbu,741512,Comedy,9.34,87900
Meow Man,Olso,3800000,Comedy,9.7,306300
Library Ghost,Mikey Heller,246490,Comedy,8.77,63900
HAPI BUNI,Ryan Pagelow,2600000,Comedy,9.52,173100
dustinteractive,Dustin Rogers,8100000,Comedy,9.34,326200
1111 Animals,1111,249838,Comedy,8.9,47400
Behind the GIFs,AC Stuart / Kat Swenski,8400000,Comedy,9.49,326800
The Gentleman's Armchair,Wes,274389,Comedy,8.91,51500
3-Second Strip,Bae Jin-Soo,763081,Comedy,8.51,58100
The Sound of Your Heart,Cho Seok,2000000,Comedy,9.56,138300
Trash Bird,Reza Farazmand,1000000,Comedy,9.54,95200
MOONBEARD,James Squires,389269,Comedy,9.26,57800
Polidiocy,Mahoney & Akel / Ryan Dunlavey,71205,Comedy,7.2,300002
RANDOMPHILIA,Devin Bosco Le,1000000,Comedy,9.41,80200
New Life Project,Cherng,69491,Comedy,8.38,14400
Tickle Town,Ardtron / GNICE,111691,Comedy,6.59,15500
Epic V,Ardtron / GNICE,18246,Comedy,5.75,5400
The DaneMen,David Danemen,448724,Comedy,9.07,39900
BuzzFeed Comics,BuzzFeed Comics,810836,Comedy,5.64,80400
My Dictator Boyfriend,Teo / Guy,4300000,Comedy,9.04,265200
Love Advice from the Great Duke of Hell,unfins,9300000,Comedy,9.81,1100000
I Love Yoo,Quimchee,29000000,Drama,9.78,4300000
Acception,Colourbee,10200000,Drama,9.07,750600
She's Hopeless,Seokwoo,1500000,Drama,9.66,669600
Get Schooled,Yongtaek Chae / GARAM HAN,883687,Drama,9.76,407700
Lookism,Taejun Pak,33900000,Drama,9.79,2200000
Odd Girl Out,Morangji,15800000,Drama,9.84,796400
Lost in Translation,Jjolee,4500000,Drama,9.71,576700
"Mom, I'm Sorry",MiTi / GUGU,3900000,Drama,9.72,760500
Back to You,Honey B,3100000,Drama,9.7,648700
Midnight Rain,Pani,1300000,Drama,9.1,343200
