country,year,gas,income,price,cars
Austria,1960,4.173244195,-6.474277179,-0.334547613,-9.766839569
Austria,1961,4.1009891049,-6.426005835,-0.351327614,-9.608621845
Austria,1962,4.0731765511,-6.407308295,-0.379517692,-9.457256552
Austria,1963,4.0595091239,-6.370678539,-0.414251392,-9.343154947
Austria,1964,4.037688787,-6.322246805,-0.445335362,-9.237739346
Austria,1965,4.033983285,-6.294667914,-0.497060662,-9.123903477
Austria,1966,4.0475365589,-6.252545451,-0.466837731,-9.019822048
Austria,1967,4.0529106939,-6.234580709,-0.505883405,-8.934402537
Austria,1968,4.045507048,-6.206894403,-0.522412545,-8.847967407
Austria,1969,4.0463547891,-6.153139668,-0.559110514,-8.788686207
Austria,1970,4.0808876731,-6.081712385,-0.596561219,-8.728199896
Austria,1971,4.106720494,-6.043625854,-0.654459143,-8.635898234
Austria,1972,4.128017777,-5.981051867,-0.596331841,-8.538337921
Austria,1973,4.199380561,-5.895152832,-0.594446813,-8.487289099
Austria,1974,4.018495372,-5.852381219,-0.466026934,-8.430404061
Austria,1975,4.0290180751,-5.869363378,-0.454142205,-8.382814756
Austria,1976,3.985411744,-5.811702699,-0.500083722,-8.322231914
Austria,1977,3.9316759431,-5.833287895,-0.421915626,-8.249563179
Austria,1978,3.922749583,-5.762023052,-0.469603119,-8.211040937
Belgium,1960,4.16401597,-6.215091247,-0.165709611,-9.405527025
Belgium,1961,4.124355641,-6.176842928,-0.171730983,-9.303149327
Belgium,1962,4.075961692,-6.12963802,-0.222291377,-9.218069984
Belgium,1963,4.001266072,-6.094018799,-0.250462254,-9.11493234
Belgium,1964,3.994375414,-6.036461168,-0.275910566,-9.00549067
Belgium,1965,3.9515307039,-6.00725184,-0.344936952,-8.862580792
Belgium,1966,3.8205378359,-5.994108428,-0.236397699,-8.754527
Belgium,1967,3.9068782151,-5.964811815,-0.266994986,-8.748826915
Belgium,1968,3.8286653779,-5.924692959,-0.311160755,-8.576512656
Belgium,1969,3.8546012139,-5.857531949,-0.354808521,-8.521452717
Belgium,1970,3.870391622,-5.797200597,-0.377940435,-8.453042944
Belgium,1971,3.8722450341,-5.761049824,-0.399229916,-8.40945701
Belgium,1972,3.905401926,-5.710230392,-0.310645837,-8.362587796
Belgium,1973,3.8959956699,-5.644144501,-0.37309192,-8.314446889
Belgium,1974,3.8182304581,-5.600727359,-0.362235632,-8.270595269
Belgium,1975,3.877778414,-5.623002999,-0.364308483,-8.228847803
Belgium,1976,3.8641455001,-5.567192753,-0.37896584,-8.184133679
Belgium,1977,3.854311239,-5.556696637,-0.431641329,-8.138533812
Belgium,1978,3.842741783,-5.532939803,-0.590949637,-8.104741067
Canada,1960,4.8552384411,-5.889713473,-0.972106499,-8.3789165
Canada,1961,4.8265553731,-5.884343618,-0.972290244,-8.346728936
Canada,1962,4.8505325093,-5.844552303,-0.978607564,-8.320511684
Canada,1963,4.8380800488,-5.792351665,-1.019047914,-8.269422279
Canada,1964,4.8397604783,-5.760063369,-1.002856963,-8.252404394
Canada,1965,4.850827846,-5.722821552,-1.017125486,-8.223621485
Canada,1966,4.871024855,-5.671784027,-1.016944359,-8.20123634
Canada,1967,4.8524989572,-5.608481132,-1.023597133,-8.156076074
Canada,1968,4.868782423,-5.573924431,-1.019845238,-8.123188139
Canada,1969,4.8644326333,-5.56085267,-1.036863891,-8.095113281
Canada,1970,4.8995700246,-5.514762812,-1.067333082,-8.080028245
Canada,1971,4.8950745608,-5.47991924,-1.058036755,-8.039263878
Canada,1972,4.8893020193,-5.436602623,-1.099667032,-7.989530701
Canada,1973,4.89969379,-5.414753492,-1.133161425,-7.942139759
Canada,1974,4.8915906557,-5.418456118,-1.123799966,-7.900757973
Canada,1975,4.888471343,-5.379097317,-1.185684272,-7.873312635
Canada,1976,4.8373587579,-5.36128513,-1.061796589,-7.808424901
Canada,1977,4.810991519,-5.336966742,-1.070844484,-7.76879257
Canada,1978,4.855845841,-5.31127192,-1.074950728,-7.788061435
Denmark,1960,4.50198595,-6.061725596,-0.195702601,-9.326160698
Denmark,1961,4.4828459381,-6.000896835,-0.253618436,-9.193135647
Denmark,1962,4.385448561,-5.987476733,-0.218754003,-9.047283606
Denmark,1963,4.3539971901,-5.97306003,-0.248009361,-8.952783018
Denmark,1964,4.326435619,-5.894741456,-0.306549235,-8.852606667
Denmark,1965,4.249453555,-5.859355859,-0.327015424,-8.761953751
Denmark,1966,4.2336434839,-5.851865629,-0.396188459,-8.681540914
Denmark,1967,4.2034662751,-5.82306394,-0.442573687,-8.60212141
Denmark,1968,4.161687403,-5.792260435,-0.352047521,-8.533773882
Denmark,1969,4.173561413,-5.72276929,-0.406879219,-8.470459448
Denmark,1970,4.128807176,-5.708307301,-0.440460822,-8.427059581
Denmark,1971,4.1031462929,-5.676820234,-0.454739536,-8.369399077
Denmark,1972,4.082807844,-5.645990729,-0.499188634,-8.33467261
Denmark,1973,4.137437795,-5.595861566,-0.432571846,-8.304602252
Denmark,1974,4.000460803,-5.594865586,-0.425177196,-8.300176747
Denmark,1975,4.0330145629,-5.612966605,-0.393954315,-8.274631554
Denmark,1976,4.0077389471,-5.553938739,-0.353615343,-8.244086914
Denmark,1977,4.005290418,-5.538730222,-0.356909167,-8.219858113
Denmark,1978,4.0366010839,-5.483073522,-0.290681352,-8.195805473
France,1960,3.9077042329,-6.264362825,-0.0195983319,-9.14570608
France,1961,3.8856225131,-6.220883071,-0.023859998,-9.044253293
France,1962,3.823666088,-6.173592484,-0.06892022,-8.930132974
France,1963,3.788996565,-6.137060236,-0.137928998,-8.818631797
France,1964,3.7670843699,-6.087236842,-0.197846462,-8.710964858
France,1965,3.760583648,-6.048527793,-0.233653249,-8.629390442
France,1966,3.7495348571,-6.000836175,-0.264271637,-8.545770986
France,1967,3.7686207529,-5.95565976,-0.294057952,-8.487369908
France,1968,3.7782304139,-5.901379697,-0.32316179,-8.425550865
France,1969,3.773460001,-5.840774005,-0.315190871,-8.369136445
France,1970,3.801582653,-5.784180922,-0.333846156,-8.327088985
France,1971,3.8259622251,-5.743143746,-0.379456667,-8.27952154
France,1972,3.8466772421,-5.699107032,-0.407816419,-8.222764105
France,1973,3.8849943329,-5.655065036,-0.475034288,-8.183904884
France,1974,3.807994935,-5.630095761,-0.216981915,-8.160327753
France,1975,3.8085488721,-5.633270593,-0.258381739,-8.145466223
France,1976,3.9081160121,-5.588335222,-0.246513092,-8.110406456
France,1977,3.812500373,-5.563417829,-0.225506808,-8.064146769
France,1978,3.7888825619,-5.530246953,-0.380759422,-8.005654903
Germany,1960,3.916953172,-6.159837053,-0.185910784,-9.342480765
Germany,1961,3.885345397,-6.120923339,-0.230953841,-9.18384062
Germany,1962,3.8714840411,-6.094257521,-0.343841709,-9.037280182
Germany,1963,3.848782399,-6.068360663,-0.374646721,-8.913629575
Germany,1964,3.868992975,-6.013442144,-0.399652558,-8.811012892
Germany,1965,3.861049164,-5.966468736,-0.43987825,-8.711887727
Germany,1966,3.8807406531,-5.949067958,-0.540001969,-8.631192343
Germany,1967,3.875031869,-5.960041459,-0.549981389,-8.576013446
Germany,1968,3.8893615239,-5.883414266,-0.438242222,-8.515864508
Germany,1969,3.8991846811,-5.829640962,-0.589231367,-8.438061231
Germany,1970,3.9025204189,-5.767374066,-0.633295197,-8.361929236
Germany,1971,3.932104258,-5.738019978,-0.671763109,-8.283823108
Germany,1972,3.9324021681,-5.718750156,-0.717974579,-8.237161518
Germany,1973,3.924155679,-5.668168999,-0.725875207,-8.19900351
Germany,1974,3.8882123569,-5.663963622,-0.569828759,-8.182679819
Germany,1975,3.922028648,-5.679056528,-0.564823796,-8.14734325
Germany,1976,3.8964692669,-5.623840836,-0.624812978,-8.087060576
Germany,1977,3.8956900509,-5.594609334,-0.597612096,-8.011101884
Germany,1978,3.8838785591,-5.561733447,-0.62817279,-7.950079429
Greece,1960,5.0374055349,-7.164861448,-0.083547398,-12.17381369
Greece,1961,5.3814948731,-7.073346584,-0.104219969,-12.05168384
Greece,1962,5.1880716432,-7.051421689,-0.133207506,-11.90638902
Greece,1963,5.083411848,-6.982024528,-0.156535759,-11.7337133
Greece,1964,5.1786270248,-6.898712669,-0.180517723,-11.55003325
Greece,1965,5.0151124361,-6.822932832,-0.077939994,-11.31705094
Greece,1966,5.048395696,-6.775097093,-0.114918997,-11.15671499
Greece,1967,4.9757754289,-6.732433517,-0.137758489,-11.01085768
Greece,1968,4.9441602588,-6.676808657,-0.15375883,-10.84762231
Greece,1969,4.8947734887,-6.591103769,-0.179869974,-10.71384781
Greece,1970,4.8518237449,-6.510270977,-0.202524264,-10.56451649
Greece,1971,4.8118147383,-6.437449096,-0.067610784,-10.41771647
Greece,1972,4.7957087158,-6.348042089,-0.119730585,-10.28614221
Greece,1973,4.7685820877,-6.281170432,-0.051910292,-10.15649763
Greece,1974,4.6278067713,-6.324581407,0.3162535102,-10.0716746
Greece,1975,4.580961511,-6.271587549,0.2063157377,-9.933333816
Greece,1976,4.47995576,-6.224761106,0.1931931175,-9.776964511
Greece,1977,4.484616757,-6.20337363,0.2350296122,-9.615697774
Greece,1978,4.546399614,-6.151117304,0.1689603715,-9.574983486
Ireland,1960,4.270420603,-6.722465569,-0.076481181,-9.6981444
Ireland,1961,4.2552393669,-6.658165852,-0.120408737,-9.604868698
Ireland,1962,4.2084346371,-6.622812272,-0.141600394,-9.502160789
Ireland,1963,4.176695597,-6.591172467,-0.152329154,-9.409331937
Ireland,1964,4.186242773,-6.564281108,-0.244282125,-9.314420999
Ireland,1965,4.164895673,-6.548302555,-0.16899366,-9.219421818
Ireland,1966,4.1682144109,-6.551963337,-0.210719014,-9.170906303
Ireland,1967,4.188989564,-6.500483448,-0.173835328,-9.114685305
Ireland,1968,4.18111984,-6.607963138,-0.213393142,-9.017195582
Ireland,1969,4.208612656,-6.379742913,-0.271628419,-8.947265329
Ireland,1970,4.2499445181,-6.366517386,-0.32069023,-8.91892885
Ireland,1971,4.267117754,-6.345441139,-0.360410671,-8.871952426
Ireland,1972,4.270767878,-6.313570947,-0.423931306,-8.823948956
Ireland,1973,4.253827008,-6.29657824,-0.64567297,-8.755768002
Ireland,1974,4.3255853241,-6.28688463,-0.553438755,-8.745202932
Ireland,1975,4.248218349,-6.301955185,-0.641264161,-8.709477871
Ireland,1976,4.2211462271,-6.28726656,-0.661342563,-8.667224401
Ireland,1977,4.2415507701,-6.251130204,-0.560114826,-8.640726674
Ireland,1978,4.198610729,-6.193142799,-0.662778084,-8.550990571
Italy,1960,4.050728238,-6.727487472,0.1650770759,-10.14209792
Italy,1961,4.0452481041,-6.655348189,-0.085590383,-9.932661737
Italy,1962,4.0289989679,-6.599781747,-0.183512909,-9.726695236
Italy,1963,3.963086271,-6.552672232,-0.265414049,-9.478799766
Italy,1964,3.936324254,-6.629295757,-0.426096431,-9.308466224
Italy,1965,3.8749851811,-6.602188966,-0.327126374,-9.158017573
Italy,1966,3.8227352401,-6.44968253,-0.248874177,-9.0148126
Italy,1967,3.7858083619,-6.393500483,-0.191600476,-8.883282217
Italy,1968,3.7639029799,-6.334509456,-0.20616656,-8.76419692
Italy,1969,3.737389284,-6.282856973,-0.247566808,-8.66600403
Italy,1970,3.706871673,-6.240453143,-0.232715118,-8.567337642
Italy,1971,3.6482050719,-6.222602399,-0.148222668,-8.470968379
Italy,1972,3.629243426,-6.205653705,-0.215088573,-8.380175877
Italy,1973,3.6522633939,-6.157296732,-0.325084875,-8.316704629
Italy,1974,3.4994699,-6.125843883,-0.222908603,-8.262255825
Italy,1975,3.5156795149,-6.17010008,-0.032709131,-8.217666121
Italy,1976,3.4276288189,-6.119222097,0.1029279823,-8.167755915
Italy,1977,3.3802089569,-6.104541265,0.1641880499,-8.145660178
Italy,1978,3.3945044428,-6.083685256,0.0348221179,-8.112851643
Japan,1960,5.9952865559,-6.986196345,-0.14532271,-12.23507894
Japan,1961,5.7584836101,-6.89295143,-0.148749398,-11.87047352
Japan,1962,5.6419150489,-6.80582869,-0.187314589,-11.58788475
Japan,1963,5.5080817012,-6.722759798,-0.19996473,-11.27024465
Japan,1964,5.275327848,-6.635915371,-0.203864326,-10.97696604
Japan,1965,5.125850803,-6.585562963,-0.237865711,-10.72197991
Japan,1966,5.0008214407,-6.500187963,-0.274115375,-10.46948704
Japan,1967,4.8548612373,-6.37759647,-0.331672402,-10.17666187
Japan,1968,4.6846663526,-6.251877284,-0.351269185,-9.881849877
Japan,1969,4.518289907,-6.159308179,-0.416850189,-9.607599613
Japan,1970,4.401596952,-6.058736622,-0.46203546,-9.382951726
Japan,1971,4.305623621,-6.006080341,-0.43941354,-9.20939385
Japan,1972,4.2229757,-5.934694172,-0.521000937,-9.054139174
Japan,1973,4.0938837331,-5.835869255,-0.462707386,-8.924269532
Japan,1974,4.007963901,-5.852553341,-0.190906362,-8.846519633
Japan,1975,3.995984493,-5.851705841,-0.159484734,-8.77517521
Japan,1976,3.9881620001,-5.800428196,-0.207265591,-8.716416559
